,_id,call_id_hash,service,priority,priority_desc,call_quarter,call_year,description_short,city_code,city_name,geoid,census_block_group_center__x,census_block_group_center__y
31,32,001340E3E11A9060E8076EE799567F,EMS,E3,EMS Standard Basic Life Support response,Q2,2016.0,ASSAULT,PGH,PITTSBURGH,420031204001.0,-79.9087869369979,40.4633827213871
93,94,00287CF2CDAF2A560654833DD603D3,EMS,E3,EMS Standard Basic Life Support response,Q3,2018.0,ASSAULT,PGH,PITTSBURGH,420031917003.0,-80.0186604546724,40.4029629739735
126,127,00055108E15C5F3527D6606B1F06AD,EMS,E3,EMS Standard Basic Life Support response,Q1,2016.0,ASSAULT,PGH,PITTSBURGH,420030409001.0,-79.9626960085371,40.4355168597522
133,134,00091C24AC90D51FA79F9472F166CA,EMS,E3,EMS Standard Basic Life Support response,Q1,2019.0,ASSAULT,PGH,PITTSBURGH,420035626004.0,-80.0364106964428,40.4440743182557
176,177,001A5A47BE7E36C99492E7CDCBF307,EMS,E3,EMS Standard Basic Life Support response,Q3,2017.0,ASSAULT,PGH,PITTSBURGH,420031608004.0,-79.9756079433207,40.4209407805222
263,264,0002745D992B36F98D21773E547C0A,EMS,E3,EMS Standard Basic Life Support response,Q3,2016.0,ASSAULT,PGH,PITTSBURGH,420032406001.0,-79.9810803828379,40.4627894256834
267,268,0007F0ED61C3DA9DAD22498E8770E8,EMS,E3,EMS Standard Basic Life Support response,Q1,2020.0,ASSAULT,GLA,GLASSPORT,420034993002.0,-79.8830436716617,40.3311180089649
302,303,000388BD0E2E1C493226DEB18A44E9,EMS,E3,EMS Standard Basic Life Support response,Q2,2019.0,ASSAULT,PGH,PITTSBURGH,420030506001.0,-79.95968411413,40.4552887063555
334,335,000BE77FD41A39812EBCA36F623ACC,EMS,E2,EMS Standard Advanced Life Support response,Q4,2015.0,ASSAULT,PGH,PITTSBURGH,420032614001.0,-80.0169006274862,40.4653303041762
335,336,000C5132BEA635EFBE56EA11E45758,EMS,E3,EMS Standard Basic Life Support response,Q3,2016.0,ASSAULT,PGH,PITTSBURGH,420032704001.0,-80.028514634242,40.4654074917589
344,345,00119BDF54491BBCEA86B5003176C7,EMS,E3,EMS Standard Basic Life Support response,Q4,2019.0,ASSAULT,PIN,PINE,420034090002.0,-80.0092547159422,40.6281033123182
392,393,00123F5CC6CEBBF5AC02B716612C4A,EMS,E3,EMS Standard Basic Life Support response,Q1,2019.0,ASSAULT,WBG,WILKINSBURG,420035604002.0,-79.8905858954034,40.4417307451259
463,464,0024E1F394B26AC8F764B053E82AA3,EMS,E1,EMS Advanced Life Support life threatening response,Q4,2017.0,ASSAULT,WIM,WILMERDING,420035080001.0,-79.8103442532946,40.3970594609367
464,465,00253694B2F39309E2E0F56D22BD8B,EMS,E3,EMS Standard Basic Life Support response,Q4,2017.0,ASSAULT,RAN,RANKIN,420035140002.0,-79.8825913722838,40.4110296575679
507,508,00273766F230F408875B5832072715,EMS,E3,EMS Standard Basic Life Support response,Q3,2015.0,ASSAULT,PGH,PITTSBURGH,420035626002.0,-80.0409732330985,40.440027997523
515,516,002A028879240B8DC600685C51FEEF,EMS,E3,EMS Standard Basic Life Support response,Q3,2016.0,ASSAULT,SWS,SWISSVALE,420035153001.0,-79.8886161508434,40.4205647215016
521,522,002D81FC8F9BB019799284049CFE1A,EMS,E2,EMS Standard Advanced Life Support response,Q3,2016.0,ASSAULT,BRD,BRADDOCK,420035138003.0,-79.8697199605781,40.399583847551
584,585,0040C2B9F0A5588FD81F69C540BF05,EMS,E3,EMS Standard Basic Life Support response,Q1,2019.0,ASSAULT,TCV,TURTLE CREEK,420035094003.0,-79.8167131670942,40.4074459433465
752,753,002BCA2C2C912A6B6D37EE640E2E29,EMS,E3,EMS Standard Basic Life Support response,Q1,2017.0,ASSAULT,HOM,HOMESTEAD,420034838002.0,-79.9106568532789,40.4095567426057
1004,1005,0085F240AB4583AF978FA27564D690,EMS,E3,EMS Standard Basic Life Support response,Q3,2018.0,ASSAULT,CLA,CLAIRTON,420034927001.0,-79.8798133379644,40.3029168894403
1230,1231,003BFAD745D044F7EA2080C9D764D6,EMS,E3,EMS Standard Basic Life Support response,Q2,2017.0,ASSAULT,PGH,PITTSBURGH,420030203001.0,-79.9814358312587,40.4542814709246
1363,1364,00D4D644E546708AD9E7330BF353DD,EMS,E3,EMS Standard Basic Life Support response,Q4,2019.0,ASSAULT,ROB,ROBINSON,420034592012.0,-80.1581149907779,40.4465784149294
1547,1548,004424DC6DE19850EDFE135FB0AB93,EMS,E3,EMS Standard Basic Life Support response,Q4,2016.0,ASSAULT,SHA,SHALER,420034268001.0,-79.9510524381955,40.5497668162856
